ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
C611	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C612	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C613	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C614	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C615	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C616	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C617	47u,8V	c_2917	CAP ALUM 47UF 8V 20% SMD	47u,8V	2917 (7343 Metric)	Panasonic Electronic Components	EEF-CD0K470R	Digikey	PCE3606CT-ND	http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
C701	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C702	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C703	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C704	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C705	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C706	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C707	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C708	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C709	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C710	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C711	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C712	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C713	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C714	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C715	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C716	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C717	47u,8V	c_2917	CAP ALUM 47UF 8V 20% SMD	47u,8V	2917 (7343 Metric)	Panasonic Electronic Components	EEF-CD0K470R	Digikey	PCE3606CT-ND	http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
C801	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C802	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C803	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C804	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C805	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C806	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C807	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C808	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C809	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C810	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C811	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C812	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C813	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C814	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C815	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C816	100n	c_0805	CAP CER 0.1UF 25V 10% X7R 0805	100nF, 25V	Surface Mount, MLCC	Kemet	C0805C104K3RACTU	Digikey	399-1168-1-ND	http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
C817	47u,8V	c_2917	CAP ALUM 47UF 8V 20% SMD	47u,8V	2917 (7343 Metric)	Panasonic Electronic Components	EEF-CD0K470R	Digikey	PCE3606CT-ND	http://www.digikey.com/product-detail/en/EEF-CD0K470R/PCE3606CT-ND/614442
L101	OSHW	OSHW_6mm
L102	Wyolum	Logo-WL3
P101	PWR_NW	SIL-PWR-2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P102	DO_N1	CONN_S	CONN HEADER 16POS .100 R/A 30AU	Header, Unshrouded, Male pin,	0.1" right angle	FCI	68016-116HLF	Digikey	609-3317-ND	http://www.digikey.com/product-detail/en/68016-116HLF/609-3317-ND/1878554
P103	DO_N2	CONN_S	CONN HEADER 16POS .100 R/A 30AU	Header, Unshrouded, Male pin,	0.1" right angle	FCI	68016-116HLF	Digikey	609-3317-ND	http://www.digikey.com/product-detail/en/68016-116HLF/609-3317-ND/1878554
P104	DI_N1	CONN_N	CONN HEADER 16POS .100 R/A 30AU	Header, Unshrouded, Male pin,	0.1" right angle	FCI	68016-116HLF	Digikey	609-3317-ND	http://www.digikey.com/product-detail/en/68016-116HLF/609-3317-ND/1878554
P105	DI_N2	CONN_N	CONN HEADER 16POS .100 R/A 30AU	Header, Unshrouded, Male pin,	0.1" right angle	FCI	68016-116HLF	Digikey	609-3317-ND	http://www.digikey.com/product-detail/en/68016-116HLF/609-3317-ND/1878554
P106	PWR_NE	SIL-PWR-2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P107	PWR_W	SIL-PWR	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P108	PWR_E	SIL-PWR-2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P109	DI_W2	CONN_N	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P110	DO_E2	CONN_S	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P111	DI_W1	CONN_N	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P112	DO_E1	CONN_S	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P113	PWR_SW	SIL-PWR	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P114	DI_S1	CONN_N	CONN RCPT 4POS .100" SNGL HORZ	Header, Female	0.1" right angle	Samtec	BCS-104-L-S-HE	Arrow	BCS-104-L-S-HE	http://components.arrow.com/part/detail/2769370S3578027N1004
P115	DI_S2	CONN_N	CONN RCPT 4POS .100" SNGL HORZ	Header, Female	0.1" right angle	Samtec	BCS-104-L-S-HE	Arrow	BCS-104-L-S-HE	http://components.arrow.com/part/detail/2769370S3578027N1004
P116	DO_S1	CONN_S	CONN RCPT 4POS .100" SNGL HORZ	Header, Female	0.1" right angle	Samtec	BCS-104-L-S-HE	Arrow	BCS-104-L-S-HE	http://components.arrow.com/part/detail/2769370S3578027N1004
P117	DO_S2	CONN_S	CONN RCPT 4POS .100" SNGL HORZ	Header, Female	0.1" right angle	Samtec	BCS-104-L-S-HE	Arrow	BCS-104-L-S-HE	http://components.arrow.com/part/detail/2769370S3578027N1004
P118	PWR_SE	SIL-PWR	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P119	DO_H_SER	SIL-PWR-2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P120	DI_A_SER	SIL-PWR-2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P121	DI_A_SER	SIL-PWR	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P122	DO_H_SER	SIL-PWR-2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P123	DI_A_Ser	SIL-PWR	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P124	DO_H_Ser	SIL-PWR	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P125	G>H	ShortLink2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P126	F>G	ShortLink2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P127	E>F	ShortLink2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P128	D>E	ShortLink2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P129	C>D	ShortLink2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P130	B>C	ShortLink2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
P131	A>B	ShortLink2	CONN HEADER 50POS .100" SGL GOLD	Header, Unshrouded, Male pin,	0.1"	Samtec Inc	TSW-150-07-L-S	Digikey	SAM1031-50-ND	http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=SAM1031-50-ND&x=15&y=16&cur=USD
PCB101	CONN_1	PCB
S101	CONN_1	Screw
S102	CONN_1	Screw
S103	CONN_1	Screw
S104	CONN_1	Screw
S401	CONN_1	Screw
S402	CONN_1	Screw
S403	CONN_1	Screw
S404	CONN_1	Screw
S501	CONN_1	Screw
S502	CONN_1	Screw
S503	CONN_1	Screw
S504	CONN_1	Screw
S801	CONN_1	Screw
S802	CONN_1	Screw
S803	CONN_1	Screw
S804	CONN_1	Screw
U101	RGB_WS2811	RGB_WS2811
U102	RGB_WS2811	RGB_WS2811
U103	RGB_WS2811	RGB_WS2811
U104	RGB_WS2811	RGB_WS2811
U105	RGB_WS2811	RGB_WS2811
U106	RGB_WS2811	RGB_WS2811
U107	RGB_WS2811	RGB_WS2811
U108	RGB_WS2811	RGB_WS2811
U109	RGB_WS2811	RGB_WS2811
U110	RGB_WS2811	RGB_WS2811
U111	RGB_WS2811	RGB_WS2811
U112	RGB_WS2811	RGB_WS2811
U113	RGB_WS2811	RGB_WS2811
U114	RGB_WS2811	RGB_WS2811
U115	RGB_WS2811	RGB_WS2811
U116	RGB_WS2811	RGB_WS2811
U201	RGB_WS2811	RGB_WS2811
U202	RGB_WS2811	RGB_WS2811
U203	RGB_WS2811	RGB_WS2811
U204	RGB_WS2811	RGB_WS2811
U205	RGB_WS2811	RGB_WS2811
U206	RGB_WS2811	RGB_WS2811
U207	RGB_WS2811	RGB_WS2811
U208	RGB_WS2811	RGB_WS2811
U209	RGB_WS2811	RGB_WS2811
U210	RGB_WS2811	RGB_WS2811
U211	RGB_WS2811	RGB_WS2811
U212	RGB_WS2811	RGB_WS2811
U213	RGB_WS2811	RGB_WS2811
U214	RGB_WS2811	RGB_WS2811
U215	RGB_WS2811	RGB_WS2811
U216	RGB_WS2811	RGB_WS2811
U301	RGB_WS2811	RGB_WS2811
U302	RGB_WS2811	RGB_WS2811
U303	RGB_WS2811	RGB_WS2811
U304	RGB_WS2811	RGB_WS2811
U305	RGB_WS2811	RGB_WS2811
U306	RGB_WS2811	RGB_WS2811
U307	RGB_WS2811	RGB_WS2811
U308	RGB_WS2811	RGB_WS2811
U309	RGB_WS2811	RGB_WS2811
U310	RGB_WS2811	RGB_WS2811
U311	RGB_WS2811	RGB_WS2811
U312	RGB_WS2811	RGB_WS2811
U313	RGB_WS2811	RGB_WS2811
U314	RGB_WS2811	RGB_WS2811
U315	RGB_WS2811	RGB_WS2811
U316	RGB_WS2811	RGB_WS2811
U401	RGB_WS2811	RGB_WS2811
U402	RGB_WS2811	RGB_WS2811
U403	RGB_WS2811	RGB_WS2811
U404	RGB_WS2811	RGB_WS2811
U405	RGB_WS2811	RGB_WS2811
U406	RGB_WS2811	RGB_WS2811
U407	RGB_WS2811	RGB_WS2811
U408	RGB_WS2811	RGB_WS2811
U409	RGB_WS2811	RGB_WS2811
U410	RGB_WS2811	RGB_WS2811
U411	RGB_WS2811	RGB_WS2811
U412	RGB_WS2811	RGB_WS2811
U413	RGB_WS2811	RGB_WS2811
U414	RGB_WS2811	RGB_WS2811
U415	RGB_WS2811	RGB_WS2811
U416	RGB_WS2811	RGB_WS2811
U501	RGB_WS2811	RGB_WS2811
U502	RGB_WS2811	RGB_WS2811
U503	RGB_WS2811	RGB_WS2811
U504	RGB_WS2811	RGB_WS2811
U505	RGB_WS2811	RGB_WS2811
U506	RGB_WS2811	RGB_WS2811
U507	RGB_WS2811	RGB_WS2811
U508	RGB_WS2811	RGB_WS2811
U509	RGB_WS2811	RGB_WS2811
U510	RGB_WS2811	RGB_WS2811
U511	RGB_WS2811	RGB_WS2811
U512	RGB_WS2811	RGB_WS2811
U513	RGB_WS2811	RGB_WS2811
U514	RGB_WS2811	RGB_WS2811
U515	RGB_WS2811	RGB_WS2811
U516	RGB_WS2811	RGB_WS2811
U601	RGB_WS2811	RGB_WS2811
U602	RGB_WS2811	RGB_WS2811
U603	RGB_WS2811	RGB_WS2811
U604	RGB_WS2811	RGB_WS2811
U605	RGB_WS2811	RGB_WS2811
U606	RGB_WS2811	RGB_WS2811
U607	RGB_WS2811	RGB_WS2811
U608	RGB_WS2811	RGB_WS2811
U609	RGB_WS2811	RGB_WS2811
U610	RGB_WS2811	RGB_WS2811
U611	RGB_WS2811	RGB_WS2811
U612	RGB_WS2811	RGB_WS2811
U613	RGB_WS2811	RGB_WS2811
U614	RGB_WS2811	RGB_WS2811
U615	RGB_WS2811	RGB_WS2811
U616	RGB_WS2811	RGB_WS2811
U701	RGB_WS2811	RGB_WS2811
U702	RGB_WS2811	RGB_WS2811
U703	RGB_WS2811	RGB_WS2811
U704	RGB_WS2811	RGB_WS2811
U705	RGB_WS2811	RGB_WS2811
U706	RGB_WS2811	RGB_WS2811
U707	RGB_WS2811	RGB_WS2811
U708	RGB_WS2811	RGB_WS2811
U709	RGB_WS2811	RGB_WS2811
U710	RGB_WS2811	RGB_WS2811
U711	RGB_WS2811	RGB_WS2811
U712	RGB_WS2811	RGB_WS2811
U713	RGB_WS2811	RGB_WS2811
U714	RGB_WS2811	RGB_WS2811
U715	RGB_WS2811	RGB_WS2811
U716	RGB_WS2811	RGB_WS2811
U801	RGB_WS2811	RGB_WS2811
U802	RGB_WS2811	RGB_WS2811
U803	RGB_WS2811	RGB_WS2811
U804	RGB_WS2811	RGB_WS2811
U805	RGB_WS2811	RGB_WS2811
U806	RGB_WS2811	RGB_WS2811
U807	RGB_WS2811	RGB_WS2811
U808	RGB_WS2811	RGB_WS2811
U809	RGB_WS2811	RGB_WS2811
U810	RGB_WS2811	RGB_WS2811
U811	RGB_WS2811	RGB_WS2811
U812	RGB_WS2811	RGB_WS2811
U813	RGB_WS2811	RGB_WS2811
U814	RGB_WS2811	RGB_WS2811
U815	RGB_WS2811	RGB_WS2811
U816	RGB_WS2811	RGB_WS2811
